ID,Gender,Economics_exp,Age,Perceived_purpose1,Perceived_purpose2,condition,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,hypocrisy_5,guilt_1,guilt_2,honest_freq_1,honest_likely_1,honest_extreme_1,committment_honesty_1,moral_1,moral_2,moral_3,moral_standards1,moral_standards2,hypocrisy_1.2,hypocrisy_2.2,hypocrisy_3.2,hypocrisy_4.2,hypocrisy_5.2,guilt_1.2,guilt_2.2,honest_freq_2,honest_likely_2,honest_extreme_2,committment_honesty_2,moral_1.2,moral_2.2,moral_3.2,moral_standards1.2,moral_standards2.2,trustbeh,proclamation,order
114,Female,5+,44,To find out if a person would follow the rules or help someone out by cheating.,To see if I trusted Player 2 to split the $5.,3,2,2,3,2,2,2,2,5,2,2,4,3,3,3,5,6,2,2,2,2,3,2,2,4,1,1,1,2,2,2,5,6,0,ambiguous,survey1
115,Female,2,43,judging people before and after knowing how they responded to the survey,See how people respond to others actions and their stated morality,2,1,1,1,1,1,5,5,6,5,4,1,7,7,7,4,7,5,7,7,5,6,6,6,6,5,4,2,5,5,5,6,3,1,absolute,game1
116,Female,1,47,not sure,not sure,1,2,1,4,2,4,7,7,7,6,7,6,7,7,7,6,5,1,1,6,1,4,1,1,6,6,1,6,7,7,7,7,2,1,absolute,survey1
117,Male,2,63,To determine if the sender would share the wealth with the Rxer.,"To ascertain if player one, having learned a bit about player two, would punish him for past decisions or realize that he did the best thing for both players.",3,2,2,4,1,2,3,3,6,4,2,4,5,5,4,5,6,1,1,1,1,1,1,1,6,6,3,6,6,6,6,6,6,1,ambiguous,survey1
118,Male,0,56,Trustworthiness.,To change your mind about honesty due to circumstances.,3,4,4,4,5,4,2,2,4,3,2,2,3,3,3,3,4,2,2,2,2,2,2,1,6,6,3,5,6,6,6,6,6,1,ambiguous,survey1
119,Female,1,27,Honestly I think it is getting to know a persons morals and your own and putting trust into someone you don't  know to be fair ,Think it is pretty mucj the same as the other game to put the choice and trust into someone else and test yours and their moral. ,3,2,2,4,2,2,4,4,5,2,2,4,5,5,5,4,6,1,1,1,1,1,1,1,4,4,2,4,5,5,4,6,6,1,ambiguous,survey1
120,Male,0,48,learning the choice game kinda made me forget about the coin flip game.,to decide if i wanted to pass on the 2$ to player two so we both would end up w/ some money,1,2,2,2,2,2,7,7,7,7,7,7,6,6,6,7,3,6,5,7,6,7,1,1,3,3,2,2,2,1,2,4,2,0,absolute,survey1
121,Male,4,52,self interest or not.,"Trust, based on someones previous decisions.",4,2,3,4,2,2,3,3,5,5,3,2,4,4,4,4,6,2,2,2,2,2,3,3,5,5,2,2,4,4,4,4,6,1,ambiguous,game1
122,Female,2,29,To see if someone will lie to someone else if it's in the other person's best interest.,To see how much I trusted the other player,1,2,4,4,2,2,6,6,7,6,6,6,6,6,6,6,6,2,4,5,2,2,6,6,6,6,5,5,6,6,6,6,6,1,absolute,survey1
123,Female,0,49,Whether or not you can truly trust a total stranger.,Whether or not you can trust someone you know very little about.,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,4,1,ambiguous,survey1
124,Female,2,45,To test honesty,To test trust,1,4,4,4,4,4,4,4,7,6,7,7,7,7,7,7,1,5,6,7,4,4,5,5,6,4,6,4,6,6,6,6,5,0,absolute,survey1
125,Male,1,42,To see if our choices would change after we learned that lying isn't always bad.,To see if the change in our perception of the other participant would influence our decision.,3,3,3,4,4,4,2,2,6,2,3,3,4,4,4,4,7,1,1,1,1,1,1,1,7,4,3,6,6,7,6,7,7,1,ambiguous,survey1
126,Male,0,20,To judge morality among strangers,To test trust among strangers,3,5,6,5,5,4,3,2,4,3,2,3,2,3,3,2,5,5,5,6,3,3,6,6,5,4,4,5,6,6,5,6,5,1,ambiguous,survey1
127,Male,1,67,trust,showing trust and honesty,4,2,2,2,2,2,3,3,6,5,2,4,6,5,5,5,5,2,2,2,2,2,3,3,5,4,2,4,5,5,5,5,5,1,ambiguous,game1
128,Male,2,25,Determining economic behavior,Determining economic behavior,2,6,5,5,6,6,2,4,3,2,5,4,5,3,5,3,4,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,6,0,absolute,game1
129,Female,1,31,to see if you can predict a persons moral behavior based on a survey or a game,to see if you  can predict the outcome of a game based on knowledge of a past experience with another game,1,4,4,4,5,4,6,6,6,6,6,7,6,6,6,6,1,2,6,6,2,2,5,5,5,5,3,3,6,6,6,6,1,1,absolute,survey1
130,Male,0,34,The coin flip game was to see if people would lie to influence their partner in earning some money since receivers tended to trust the senders.,The choice game is to see if people would trust another person to send back money which would benefit both people or keep a much amount of it for themselves.,1,4,4,4,4,4,6,6,7,7,7,7,5,5,5,5,3,6,6,6,6,6,5,5,5,4,2,4,5,6,4,5,5,0,absolute,survey1
131,Female,0,26,To assess whether someone feels inclined to lie about an outcome in order to maximize the payment for another person?,To assess peoples' propensity towards trusting others?,2,3,3,3,5,4,2,2,4,4,2,2,2,2,3,3,5,6,6,6,6,5,4,4,4,4,2,2,2,2,2,3,4,0,absolute,game1
132,Male,2,34,See how honest someone is,See how we feel about the other person,2,5,3,5,4,5,3,2,2,2,3,2,3,3,2,2,4,6,6,6,6,5,2,2,4,2,3,2,2,2,2,2,3,0,absolute,game1
133,Female,0,64,Determination of innate fairness,To see if we would respond fairly in kind based on other person's prior responses,4,2,1,4,2,5,5,2,6,6,2,5,7,7,7,6,6,2,2,2,2,5,2,2,6,5,2,5,6,6,6,5,6,1,ambiguous,game1
134,Male,0,60,To determine how people react to those who show signs of dishonesty?,To see how I reacted to a person who was previously dishonest?,2,4,3,6,5,5,3,3,5,4,2,2,4,2,3,2,4,4,2,7,4,5,3,3,5,4,2,2,2,2,3,3,3,0,absolute,game1
135,Female,3,57,Uncertain,To assess measures of social trust and cooperation.,2,4,4,4,4,4,5,5,5,5,6,5,5,5,5,4,5,2,3,5,2,2,6,6,7,6,7,6,6,6,6,6,6,1,absolute,game1
136,Female,2,33,will you help others earn more money ,share money to receive slightly more,3,3,3,4,2,5,3,4,5,2,4,2,5,5,4,3,5,2,2,2,3,2,1,1,5,3,4,4,5,5,4,4,6,0,ambiguous,survey1
137,Male,0,35,I'm not sure,To test people to see if they are going to keep the money.,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,2,2,5,1,2,3,3,3,3,4,4,0,ambiguous,game1
138,Male,1,65,To earn money at the expense of another person,To see how you would make a choice with money,2,4,3,3,5,4,6,4,3,4,6,3,3,4,2,3,4,1,2,5,2,1,6,6,6,6,7,7,6,5,6,6,6,0,absolute,game1
139,Male,1,32,To see if people would lie if it benefits the other person. ,To see how trustworthy people are,1,3,3,3,3,4,7,6,6,6,6,7,6,6,5,5,4,6,6,5,6,5,6,6,4,4,5,5,5,4,4,5,5,1,absolute,survey1
140,Male,0,25,To find out how honest people are,To find out people's morality when faced with a financial decision,2,2,5,5,2,2,5,5,6,3,3,4,5,5,5,5,5,6,6,6,6,6,2,2,4,2,2,2,2,2,2,3,5,1,absolute,game1
141,Female,1,36,To make a judgment on the other Participant's morals and ethics.,To see if I trust or distrust the other participant.,3,1,1,1,1,1,1,1,5,3,3,4,4,4,4,5,6,3,3,3,3,3,4,4,5,4,3,4,4,4,4,5,5,1,ambiguous,survey1
142,Male,5+,38,To research how people view the decisions of others,to research people's decision making habits,3,3,3,4,3,3,3,3,6,3,3,4,5,5,5,5,6,4,4,5,3,3,4,4,5,5,3,4,4,4,4,5,6,0,ambiguous,survey1
143,Female,1,27,To see if people would lie about the result and trust each other about that result as well.,To see if I would trust my game partner to make the decision to send me money after seeing how he played in a previous game and being prompted to think about his morality.,1,5,4,5,3,2,7,5,7,6,6,4,6,5,6,6,3,3,3,6,5,6,5,3,5,2,2,4,4,5,3,6,1,1,absolute,survey1
144,Male,5+,43,thoughts on greed,testing greed in people,4,6,6,6,6,6,2,2,2,1,2,1,2,2,2,2,2,6,6,6,6,6,2,2,2,1,3,2,1,1,1,2,2,0,ambiguous,game1
145,Female,0,26,To judge greed ,"To see how we would ""punish"" the previous player for not being trustworthy ",2,5,4,4,6,6,2,2,2,1,7,2,2,2,2,3,5,7,2,6,7,7,5,5,3,1,7,2,2,2,2,3,2,0,absolute,game1
146,Male,1,35,Measuring how much we trust other people.,Measuring how much we trust other people.,3,5,5,2,5,5,2,2,4,1,5,4,3,3,3,5,5,3,6,6,3,3,2,2,5,2,5,4,5,5,5,3,5,1,ambiguous,survey1
147,Male,0,68,To see whether the sender was willing to lie to allow a better outcome for the other player.,To see based on their past actions whether I would trust player two to return half of the money.,2,2,3,5,2,2,1,1,5,2,2,2,4,4,4,5,5,3,3,3,3,3,1,1,6,4,2,3,5,5,5,5,6,1,absolute,game1
148,Female,1,46,how personal ethics plays a role in decisions,honesty and morals,4,5,6,6,6,5,5,4,4,2,3,2,2,2,3,3,5,6,5,5,6,5,6,6,3,2,6,2,2,2,3,2,2,0,ambiguous,game1
149,Female,0,31,To see whether people would lie in order to help others.,To see whether people were willing to trust the other person not to cheat them.,1,2,2,4,2,2,7,7,7,6,7,6,6,6,6,6,5,1,1,1,1,1,2,2,7,7,6,6,6,6,6,6,5,1,absolute,survey1
150,Male,1,43,Evaluating perceptions and realities of trust when money is involved?,To measure reactions to participant answers and study how they might impact a partner's decisions?,3,4,3,3,6,6,1,1,2,2,2,1,1,1,2,2,3,3,3,3,6,6,1,1,2,1,2,1,1,1,1,2,3,0,ambiguous,survey1
151,Male,1,38,trust,do we trust people?,4,2,2,2,1,1,1,1,6,6,5,4,5,4,7,5,6,1,1,1,1,1,1,1,5,3,3,4,4,4,5,4,6,0,ambiguous,game1
152,Male,2,27,To see if people can lie for the benefit of the other player.,"To see if we can relate what a player previously did and him lying to give the other player more money, if we would trust that player",4,2,2,2,2,1,1,1,5,4,3,3,5,5,7,4,6,1,2,2,1,1,1,1,5,3,4,5,5,5,7,6,7,1,ambiguous,game1
153,Male,0,27,to analyze if people is honest,to analyze if people prefer to keep their money or not,4,1,1,1,5,1,1,1,2,1,6,1,4,4,5,7,7,1,1,1,1,1,1,1,3,1,5,1,4,5,5,4,7,0,ambiguous,game1
154,Male,0,27,To determine whether or not the receiver assumes honesty and transparency in the message relayed by the sender.,To determine whether player 1 trusts player 2 enough to return an amount that potentially appreciates their original $2 by 0.50 cents.,4,3,4,4,5,5,3,2,4,3,2,2,4,3,4,3,4,4,2,2,6,6,2,2,4,2,2,2,3,2,2,2,4,1,ambiguous,game1
155,Male,0,45,to get information on how people think when other players are not so honest,i dont know,2,2,2,2,2,2,4,4,5,3,1,1,4,4,4,4,6,5,6,5,5,5,4,4,4,3,1,3,5,5,5,3,4,0,absolute,game1
156,Female,1,25,"no idea, maybe dealing with morality",no idea,2,4,4,7,6,6,1,1,2,2,2,1,2,2,2,2,4,7,7,7,6,6,4,4,2,2,2,2,2,2,2,2,4,0,absolute,game1
157,Male,5+,48,To see if people will lie to help their partner earn money.,To see if player 1 would trust their partner to return half the money or not.,2,5,5,6,5,5,2,2,5,4,2,3,3,3,3,4,4,7,7,7,7,7,4,4,5,4,3,4,3,3,3,4,4,0,absolute,game1
158,Male,2,44,To see how much I trust people. ,To see how much i trust people ,4,2,2,2,2,2,2,2,6,6,6,6,6,6,6,5,5,4,5,5,5,5,2,2,4,4,2,3,4,4,4,5,5,0,ambiguous,game1
159,Female,0,40,To see if the sender would lie.,To see if player one trusts player two.,2,2,2,2,2,2,5,5,6,4,2,4,5,5,5,5,6,6,6,6,6,6,5,5,6,5,2,3,4,4,4,5,6,1,absolute,game1
160,Male,0,36,To learn about honesty.,To test honesty.,2,4,4,2,2,4,4,4,6,5,2,2,3,4,4,5,5,3,5,6,4,4,5,2,6,6,2,4,4,5,5,4,5,1,absolute,game1
161,Male,3,23,To test a person morals when it comes to lying.,Testing morals.,1,2,2,3,2,2,5,4,7,7,4,7,7,6,7,7,6,4,4,5,4,5,4,5,4,3,4,4,4,4,3,4,5,0,absolute,survey1
162,Female,1,27,PEOPLE'S JUDGEMENT AFTER SEEING HOW MORAL THEY ARE,PEOPLE'S JUDGEMENT AFTER SEEING HOW MORAL THEY ARE,2,2,2,2,2,2,2,2,6,6,2,3,5,5,4,6,6,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,1,absolute,game1
163,Female,2,53,Judge others,Trust based on results of coin flip game,2,2,2,4,2,2,5,5,5,5,3,2,2,2,2,4,7,5,7,7,6,6,6,6,5,4,3,4,4,4,4,4,5,1,absolute,game1
164,Male,0,63,To test honesty and morality.,To test trust of others based on their behavior.,1,6,3,6,6,6,7,7,6,6,6,6,6,6,6,6,6,2,6,7,2,2,2,1,6,6,6,6,7,7,7,7,7,1,absolute,survey1
165,Male,1,27,Perhaps to see how honest people are when lying can be of benefit to someone else.,"To see whether people decide to share an amount, based on another player's past behavior.",1,1,1,4,1,1,4,4,7,7,6,6,5,5,1,4,6,6,6,7,5,6,4,4,5,4,2,2,2,2,1,3,4,1,absolute,survey1
166,Male,2,32,To determine honesty with a partner and see if someone will lie to gain more,to see how maral someone is ,2,1,1,2,2,1,4,5,7,7,5,4,3,4,4,4,5,1,1,1,1,1,7,7,7,7,1,6,7,7,7,6,5,1,absolute,game1
167,Female,4,56,To reveal character.,To act based on one's character and the known character of the other player.,1,2,4,4,2,2,6,6,6,6,7,6,6,6,6,6,5,1,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,1,absolute,survey1
168,Male,2,28,not sure,not sure,3,3,4,3,5,2,4,3,5,4,5,4,3,3,3,4,3,4,5,5,4,4,4,6,5,4,5,4,3,4,4,3,4,1,ambiguous,survey1
169,Male,1,33,perception of self and others,perception of self and others,1,2,2,2,2,2,7,7,7,7,7,6,6,6,6,6,6,2,2,2,2,2,7,7,7,6,7,7,6,6,6,6,6,1,absolute,survey1
170,Female,0,42,To trust or not to trust another player,To see how selfish you are,4,2,2,6,2,2,6,6,6,6,5,6,6,6,6,6,6,4,4,4,4,4,3,3,5,5,2,4,3,3,3,4,5,0,ambiguous,game1
171,Female,1,41,To set up the Choice Game.,To see how you would play the game depending on how honest you perceived your partner to be.,1,4,4,4,5,5,6,6,6,4,5,4,5,5,4,5,3,2,2,5,2,2,2,2,6,6,3,5,6,6,6,6,6,1,absolute,survey1
172,Male,0,23,honesty and morals,morals,3,4,4,4,4,4,4,4,4,2,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,4,5,1,ambiguous,survey1
173,Female,0,29,I have no idea,I don't know that either! I'm terrible at figuring out the point of these things,2,2,2,2,3,3,2,2,5,5,2,3,5,6,6,4,6,5,5,6,3,3,5,5,6,4,7,2,3,3,3,3,6,1,absolute,game1
174,Male,2,26,"The Coin Flip game was between sender and receiver.  There is a 50% chance of heads or tails, and only the sender knows the outcome.  When the coin is flipped, the sender can send a message to the receiver of the outcome of the coin, whether truth or lie.  If the Receiver picks correctly, he receives nothing and the sender gets $2.  If he chooses the wrong outcome, he wins $1 and the sender wins $1.75.  Seems the purpose would be for the receive to believe what you send so you both win money.","The Choice game is to see if player 1 wants to risk $2 to win $2.50, while the player 2and also win $2.50, or be selfish and keep the $2 with the risk of player 2 keeping all $5 or getting nothing.",4,3,3,3,3,4,4,4,6,3,2,5,6,6,6,5,5,3,3,3,3,4,4,4,6,6,2,5,6,6,6,4,5,0,ambiguous,game1
175,Male,2,26,"To try and perceive what kind of person is and if they're likely to be more moral, ethical and likely or unlikely to vote after seeing what actions they have taken towards another player.",Understand how people react and likely to react when dealing with a person after knowing some things about them and how they act when it comes to actions and staying true to themselves.,2,3,2,2,4,2,1,1,3,2,2,1,2,2,3,4,7,7,7,7,5,6,4,3,3,4,3,4,3,4,3,4,7,0,absolute,game1
176,Male,2,27,No idea,No idea,1,1,1,7,1,1,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,4,4,5,1,3,3,4,4,4,4,4,1,absolute,survey1
177,Male,5+,36,To see if my behavior would change after I was given an idea of a collaborators morals and also their prior behavior.,I think it was to see if I could collaborate when I was given an idea of incentives and how my collaborators had behaved in the past.,1,2,2,2,2,2,7,7,7,7,6,7,6,6,6,6,4,3,5,6,2,2,6,6,6,6,4,3,4,4,3,3,5,1,absolute,survey1
178,Female,2,25,see people's abilities to be honest,see people's opinions of being generous,3,4,5,3,5,5,4,4,5,3,2,3,3,3,3,3,4,3,3,4,3,4,5,4,5,5,2,4,5,5,4,4,5,0,ambiguous,survey1
179,Female,3,24,To test if honesty outweighs gain,To test selflessness vs selfishness in people,4,2,2,4,2,4,2,2,5,3,4,3,6,6,5,6,6,2,4,1,4,4,2,2,5,2,2,2,5,5,2,5,5,1,ambiguous,game1
180,Female,2,54,not sure,not sure,1,2,2,2,2,2,6,6,7,6,6,6,5,5,5,5,5,2,2,2,2,2,2,2,6,6,6,6,5,5,5,5,5,0,absolute,survey1
181,Female,0,47,I guess it was to see if someone who is usually honest would be good at lying about the coin toss. ,I guess to see how people make decisions. ,2,2,4,5,2,2,3,3,6,5,2,5,5,5,5,5,5,3,5,3,3,3,5,5,6,5,3,5,5,5,5,5,5,0,absolute,game1
182,Male,0,53,To determine how honest people are in reality compared to self evaluation.,Access how much people trust a stranger to maximize benefit to both vice only theirself.,1,2,2,4,3,2,6,6,6,7,7,5,5,4,5,4,6,6,6,7,1,1,6,2,6,1,4,5,5,4,5,4,7,1,absolute,survey1
183,Male,3,25,i think it was either to trust or not trust the partner ,to test the level of the trust you have developed while learning about the partner,1,2,6,2,2,4,2,2,6,7,7,6,6,6,6,6,6,3,4,7,4,4,3,3,4,5,3,3,4,4,4,5,5,1,absolute,survey1
184,Female,4,34,I can't remember but I think it's about the idea that the best deal you can take is the one you take now. Time value of money or something like that. ,How does knowing the outcome of the coin game affect the choice game. ,2,4,4,4,5,6,6,5,5,2,3,1,1,2,2,1,3,3,6,5,4,4,5,5,6,4,5,3,4,4,4,3,3,0,absolute,game1
185,Female,1,63,Perceptions of honesty ,Honesty and ethics,4,4,4,4,4,4,4,4,5,5,5,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3,5,3,4,4,4,4,5,0,ambiguous,game1
186,Female,0,46,to learn about morality,also to learn about morality and trust,4,3,2,3,3,3,1,1,4,2,3,2,4,4,4,4,7,2,2,1,2,2,1,1,4,2,2,3,4,4,4,4,7,0,ambiguous,game1
187,Male,0,34,To see how people would change when its game time. ,To see how people would sacrifice a little of themselves to gain a little more money,1,3,2,2,3,2,6,7,7,4,1,6,5,5,6,5,3,5,5,5,4,5,7,6,4,4,3,5,5,6,5,5,4,1,absolute,survey1
188,Male,2,31,To see what decision we would make in the coin flip game and how we view another players choices.,To see how we view another players choices. See if we would keep money for ourselves.,2,1,1,1,1,1,1,1,6,5,1,2,7,7,7,7,7,1,3,6,1,1,2,2,6,6,1,7,7,7,7,7,7,0,absolute,game1
189,Female,1,27,Lying when it would be beneficial,Trust?,3,3,3,4,3,4,4,4,5,3,4,3,3,3,3,2,6,2,2,3,3,2,2,2,5,5,5,3,4,4,5,4,6,1,ambiguous,survey1
190,Male,1,25,To see if whether or not someone would trust another player with the information they received about the game to win a prize.,To see if someone was willing to take a chance on a partner so they both could earn more money,1,2,2,1,2,2,7,7,7,7,7,7,6,6,7,6,6,6,6,7,5,6,6,5,2,3,2,2,1,2,1,2,6,0,absolute,survey1
191,Female,1,21,To see how well people could trust each other and see how their choices they made reflected that,to see how peoples choices could be affected by certain things,3,1,1,3,7,1,2,2,5,1,3,4,5,5,5,5,6,2,3,3,1,1,1,1,1,1,5,3,4,4,4,3,3,0,ambiguous,survey1
192,Male,0,35,To test lying when it benefits both parties,to test trust in those who lied altruistically,2,2,2,2,2,2,2,2,5,5,2,5,6,6,6,6,6,2,3,6,2,2,3,3,6,5,4,5,6,6,6,6,3,1,absolute,game1
193,Female,0,65,Honesty,fairness,4,2,2,2,2,2,2,2,6,6,3,5,5,5,5,5,6,2,2,2,2,2,2,2,6,6,3,5,5,5,5,5,6,1,ambiguous,game1
194,Female,1,24,Determine what you would do based on what you know about the other player,Determine what you would do based on someone else's values,2,4,3,5,5,4,5,5,3,4,3,2,2,2,2,4,5,6,6,6,5,5,5,5,4,3,2,2,2,2,2,3,3,1,absolute,game1
195,Male,0,35,not sure,not sure,1,4,4,4,4,4,7,7,7,6,7,5,6,5,6,6,6,7,7,6,7,7,2,2,4,2,2,1,2,2,2,3,7,1,absolute,survey1
196,Male,0,34,To determine if participants would lie to their partners.,To measure how much participants trust their partners.,4,1,4,1,2,2,1,1,5,5,4,3,4,4,4,5,5,1,1,1,1,1,1,1,6,6,2,3,4,4,4,4,6,0,ambiguous,game1
197,Female,1,38,Morals/lying/and trusting strangers also looking out for the best outcomes for others.,Trusting others to do the right thing,2,1,2,1,2,2,1,1,5,5,5,1,6,6,6,6,7,1,7,7,3,1,6,6,6,6,7,3,6,6,6,7,6,1,absolute,game1
198,Female,0,52,No real purpose. It simply chooses a side of a coin.,To gage if and how much people are will to share.,3,3,3,4,4,4,3,3,4,3,5,2,5,5,3,4,6,4,3,2,5,4,2,2,3,2,4,2,2,3,2,3,5,0,ambiguous,survey1
199,Male,0,28,To determine how ethical the other player is ,To determine how ethical I am,3,4,3,4,5,5,4,4,4,4,5,3,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,0,ambiguous,survey1
200,Female,5+,55,trust,trust,3,4,4,4,4,4,2,2,4,2,2,1,1,1,1,2,5,4,4,2,4,4,2,2,4,2,2,1,2,2,3,4,5,1,ambiguous,survey1
201,Female,2,47,fairness of respondent to another player,fairness of respondent to a player that appears honest,4,2,6,4,2,2,6,6,6,6,2,6,5,5,5,6,6,2,6,4,2,2,6,6,6,6,2,5,6,6,6,6,6,1,ambiguous,game1
202,Female,2,38,To understand human psychology for honesty.,To understand human psychology for honesty.,3,1,4,3,1,4,4,4,5,4,1,4,4,4,4,5,6,4,6,6,4,4,1,1,4,3,1,2,3,3,3,4,4,0,ambiguous,survey1
203,Male,2,64,to collect data,to collect data,4,3,4,4,4,3,2,2,5,1,2,4,5,5,5,4,4,3,4,4,4,3,2,2,5,1,2,4,5,5,5,4,4,1,ambiguous,game1
204,Male,1,42,trust exercise,risk assessments,3,4,4,4,3,4,2,2,4,4,2,2,2,2,2,2,4,4,3,3,4,4,3,3,5,5,2,2,2,2,2,2,5,0,ambiguous,survey1
205,Male,4,34,Trust survey,trust survey,3,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,6,0,ambiguous,survey1
206,Male,0,48,How often is it permissible to lie. ,Perceptions about sharing,2,4,4,4,5,5,4,4,4,4,5,4,5,4,4,4,4,3,5,4,5,4,4,3,4,4,5,4,4,3,4,4,5,0,absolute,game1
207,Male,0,35,not sure,not sure,2,2,2,2,2,2,3,2,6,1,5,5,6,6,6,6,6,2,2,4,2,2,3,2,6,6,6,6,6,6,6,6,6,1,absolute,game1
208,Female,0,29,Do people try to help others they don't know to ensure everybody wins?,Trustworthiness. Do strangers play fair when it comes to money?,4,3,3,5,3,4,4,3,5,3,3,4,6,6,5,5,7,2,2,5,2,2,3,2,4,4,3,5,5,5,5,4,7,1,ambiguous,game1
209,Male,3,29,To determine how many individuals would share or keep the money. ,To see what individuals would do with money given to them. ,1,2,1,1,1,1,6,6,7,7,6,6,7,6,6,6,7,1,1,1,1,1,2,2,6,1,6,6,7,7,6,6,6,0,absolute,survey1
210,Female,2,49,Judging the honest of others,Being fair to others,4,6,6,4,5,6,2,2,2,2,2,1,2,2,2,2,2,6,3,2,6,6,2,2,3,3,2,2,2,2,2,2,3,1,ambiguous,game1
211,Male,5+,29,To determine how likely someone would be to lie if they could make money,To see how the information provided about your teammate changed your decision from the coin flip game,4,3,3,3,5,5,2,2,5,5,2,2,2,2,3,3,3,3,2,3,3,5,2,2,5,5,2,2,4,4,2,3,3,0,ambiguous,game1
212,Female,1,60,It was probably to see if people will be dishonest in situations where they see if they or others will benefit from their dishonesty.,It might be to see how likely one is to trust someone who has a past history of dealing fairly with others.,4,2,3,2,2,2,2,2,4,2,1,2,4,4,4,4,6,2,2,2,2,2,2,2,4,2,2,2,4,4,4,4,6,1,ambiguous,game1
213,Male,4,36,how we make decisions,how we make decisions,4,2,5,4,3,4,4,4,4,4,4,4,4,4,5,5,6,5,4,2,4,5,4,4,3,3,4,4,5,4,4,5,3,0,ambiguous,game1
214,Female,0,49,To determine the effects of honesty on ratings a peer.,To determine the effects of a receiver's honesty when determining rewards to award.,4,4,3,3,5,3,1,1,2,2,2,2,2,2,5,2,4,2,2,1,2,2,1,1,4,2,4,3,2,2,5,3,6,1,ambiguous,game1
215,Female,2,38,Assessing chance,To see how much I trust a player in a game.,3,3,3,3,4,4,3,4,5,2,2,3,4,4,3,2,6,3,3,3,4,3,4,4,4,2,3,3,5,5,3,3,6,0,ambiguous,survey1
216,Male,1,38,"I guess to learn about the character of Participant 215, whether I could trust him.","I guess, if now I have an idea of Participant 215 character, whether I trust him to do what is beneficial for the both of us. ",3,5,2,2,6,4,2,2,2,2,3,2,5,2,2,2,2,2,6,6,2,4,1,1,6,6,2,5,7,6,6,6,6,1,ambiguous,survey1
217,Male,0,35,Perception of honesty ,Perception of honesty ,2,3,5,5,5,5,3,3,6,5,4,3,4,4,3,5,5,5,5,5,5,5,5,5,6,4,4,3,3,3,2,5,5,0,absolute,game1
218,Female,2,24,To see how honest one person will  be towards another person. ,"To see how much trust one person will put in another, knowing their past decisions. ",3,3,4,4,5,5,2,2,5,4,3,2,2,2,2,3,3,4,3,4,5,5,2,2,5,2,2,2,4,4,4,3,4,0,ambiguous,survey1
219,Female,1,36,Using information about a person to make judgments on a game,Making choices based on values,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,5,5,5,5,5,4,4,4,4,4,4,1,absolute,game1
220,Female,2,44,what is the right thing to do with money - share or take,will a person share or take,1,2,2,2,2,1,6,6,7,7,7,7,7,7,7,7,6,2,5,6,2,2,4,4,6,6,5,5,7,7,7,7,7,1,absolute,survey1
221,Female,0,55,To see how honest the sender is.,to punish the sender from the coin flip game,4,4,2,4,6,6,2,2,2,1,1,1,1,1,1,1,4,4,4,2,6,6,1,1,2,2,1,1,1,1,1,1,4,0,ambiguous,game1
222,Male,1,30,to see if we would be honest.,to see if we would be greedy.,2,5,6,6,6,5,5,5,5,4,4,3,4,4,4,5,5,6,6,6,6,5,5,5,4,4,4,4,4,4,4,3,5,0,absolute,game1
223,Female,2,27,Evaluate one's choice in their own benefit vs benefiting both parties,Being honest and selfless,3,4,5,4,4,5,3,4,4,4,5,3,4,3,4,4,4,4,4,4,5,3,4,1,5,2,2,2,3,3,3,4,5,0,ambiguous,survey1
224,Female,1,31,To see how honest someone was,To use the results from the coin flip game to make a decision ,1,4,4,4,2,2,6,6,7,6,7,7,6,6,6,7,5,6,6,6,6,6,4,4,4,3,6,2,3,3,3,6,3,0,absolute,survey1
225,Female,1,25,To trust or not to trust on so and so outcome.,Determine who and what you are on your choices.,3,3,3,3,4,3,3,3,5,5,3,3,2,2,2,3,5,3,3,4,5,5,3,3,4,4,4,3,2,2,2,3,5,1,ambiguous,survey1
226,Female,2,35,To test a person ethics and morals,to see how trustworthy people are.,2,4,3,5,5,5,5,3,5,2,2,3,2,3,3,3,6,7,7,7,5,5,2,2,2,1,1,2,2,2,2,2,5,1,absolute,game1
227,Male,0,41,To see if we'd choose self-interest or trust with the possibility of greater reward. ,Really the very same purpose just slightly different game mechanics.,1,2,4,4,2,2,7,7,6,6,6,6,6,6,6,6,2,2,4,4,2,2,6,6,6,6,5,6,5,5,5,6,2,0,absolute,survey1
