ID,Politician_Similarity,Gender,Age,Affiliation,Study Purpose,Attention_Check1,Attention_Check2,condition,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,vote,d1,g1,imm
135,no,Female,29,Democrat,how people feel about those who lie,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,1,1,1,1,6,6,7
136,All of them,Male,37,Republican,lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,6,6,4,3,2,2,2,5,6,5,3
137,Any politician that has ever lived.,Male,48,Democrat,Morality,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,2,2,2,2,5,5,6
138,Bill Clinton,Male,56,Republican,Assess how much people believe it is moral or immoral to lie. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,5,5,5,3,3,3,3,4,4,6
139,It reminded me of Donald Trump who pretends to be very moral and ethical yet really lies a lot,Female,48,Democrat,"I think it has something to do with if people will still vote for politicians who are hypocritical, unethical, and caught in a lie if those politicians are from the person's own party.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,6,2,2,2,3,4,3,5
140,Donald Trump,Male,32,Other,"Do people think all politicians are liars? If so, are they just picking the lesser of two evils?",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,6,7,6,4,3,3,3,5,6,5
141,"In general yes, but no names come to mind.",Female,47,Other,I think the purpose is to study decisions about trust in the political system.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,6,6,6,2,2,2,2,3,4,4
142,Pretty much the whole GOP these days,Male,35,Other,How people view this new trend of lying in politics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,3,7,7,3,1,1,1,1,5,5,4
143,"Warren. My understanding is that PACs aren't actually allowed to donate to candidates, but they are allowed to spend money on their behalf.",Male,34,Other,To assess my interpretation of a politicans statements.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,1,1,1,1,1,4,4,4,4,4,1,1
144,"Joe Biden, Donald Trump",Male,42,Other,To see if people think it is acceptable for politicians to lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,6,2,4,2,3,2,2,2,5,6,7
145,no,Male,44,Republican,I don't know.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,3,5,5,5,3,3,3,3,4,4,4
146,most politicians come to mind when I think of lying and deception,Female,35,Republican,how dishonesty alters feelings and likelihood to vote for politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,5,5,7,2,2,2,4,4,3,7
147,He reminded me of President Trump,Male,44,Democrat,To see if I was okay with politicians telling blatant lies.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,5,5,6,3,3,2,2,5,4,5
148,None,Male,29,Republican,To see what I think about a certain politician.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,3,4,4,5,4,4,3,3,5,4,4
149,all of them,Male,36,Republican,to see if people think it is ok for poloticians to lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,6,6,6,4,2,2,2,2,4,4,4
150,yes,Female,59,Other,The purpose of the study was to determine one's personal view of morality and how it affects one's choices. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,6,5,5,4,3,4,3,3,3,3,7
151,All of them.,Female,40,Republican,Feelings towards politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,7,6,7,6,2,2,2,2,6,7,7
152,all liberals and career politicians pelosi,Male,40,Other,political thoughts,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,7,7,7,1,1,1,1,7,7,6
153,Every single one of them!,Female,36,Republican,Politicians and lying.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,2,2,2,2,2,5,5,4,5,4,1,4
154,None,Male,30,Democrat,Evaluating information about a senate aspirant ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,7,6,7,6,2,2,1,3,6,6,6
155,all of them,Male,40,Other,views on politicians morality,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,6,6,6,6,4,4,4,4,5,5,5
156,Yes,Male,24,Democrat,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,5,5,7,3,3,3,3,5,5,5
157,None in particular,Male,42,Democrat,How people judge political rhetoric,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,6,7,6,6,4,4,3,3,4,3,3
158,no,Female,56,Republican,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,5,6,2,3,2,3,4,5,6
159,Pretty much all of them.,Male,48,Other,"To determine if a politician lying about campaign contributions would keep me from voting from him/her.  To me, it would really depend on how awful the opposing candidate is and his/her positions.",,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,2,2,2,3,6,6,7
160,Just about all of them,Female,44,Other,Judgments of others,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,3,5,5,3,3,3,3,3,4,5,6
161,Donald Trump,Female,38,Democrat,Morals in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,3,3,3,4,4,3,7
162,It makes me think of some Democrats that tend to talk about moral issues and ethics but still take some contributions from corporations as you need money to win a election.,Male,25,Democrat,Perception of a candidate based on moral principles.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,4,4,4,5,3,3,3,4,4,4,3
163,Joe Biden,Male,29,Other,Political image,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,5,5,4,5,3,4,3,4,4,5,2
164,Nobody specific.,Male,45,Democrat,To study how people perceive politicians' ethics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,3,4,5,2,4,4,3,4,4,5,5
165,trump,Female,58,Democrat,I don't know  I am sorry.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,6,6,6,6,2,2,2,2,5,5,6
166,Joe Biden,Male,39,Republican,To determine how I feel about politicians and their statements.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,5,5,5,3,3,2,2,2,5,6,5
167,"Pretty much every politician is a liar, in my personal experience with them.",Female,64,Democrat,To determine one's perception of a lying politician.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,4,2,2,2,3,6,6,6
168,This seems to be like most of your typical politicians.,Female,40,Republican,How we view lying in office,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,5,5,3,3,3,3,4,5,6,6
169,"The description of Matthew Johnson brings to mind lots of politicians, primarily in the democratic party.  i.e.: Hillary Clinton - claimed no foreign money contributions when in fact these contributions were laundered thru the Clinton ""Crime"" Foundation prior to landing in Hillary's campaign account.  Just one example, but a good one.",Female,69,Republican,Perhaps to gain perspectives from participants as to how serious they view claims from political candidates related to the origin of their campaign contributions.,,"Yes, he did lie about his campaign contributions.",5,control,no,7,4,6,7,7,2,2,1,1,6,7,7
170,"Not any in particular, but many politicians are not truthful about their campaign money.",Female,28,Republican,to see if people's perception changes based on dishonesty,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,4,3,4,3,3,5,3,1,7
171,"All of them!  BTW: everybody lies, some more than others. You would lie if it would save a life (esp. your own) but Trump lies 100% of the time.",Female,59,Democrat,Some Trump related thingie,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,1,1,7,7,1,3,3,1,2,7,7,3
172,yes,Female,46,Democrat,To see if an individual supports another even if its blatantly clear that they're dishonest,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,2,2,1,2,5,6,7
173,Yes!!! Donald Trump!,Female,42,Other,Honesty and morality of politicians ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,2,4,4,2,2,2,2,2,5,6,7
174,No,Female,29,Republican,Unsure. To see how people view politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,3,4,3,3,3,3,4,3,5,4
175,Not that I can think of. ,Female,28,Democrat,To evaluate how people think about politicians who lie. ,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,7,6,4,4,3,2,5,5,6
176,Joe Biden,Female,28,Republican,I think the purpose of this study was to see how you view ethics in politics.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,2,1,2,4,3,5,5,5,3,4,3,7
177,Joe Biden,Female,28,Other,To see how knowledgeable people are about candidates before they vote for them.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,2,4,6,5,7,7,6,1,7,6
178,None,Male,49,Democrat,To see if we would lie when we were asked if any politicians came to mind after the scenario.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,5,6,5,5,2,3,3,3,4,4,7
179,It brought almost ALL of them to mind.  Top of that list for me is Donald Trump. ,Female,40,Other,To see how people make decisions when new information is added to a candidate that they are really pulling for,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,5,6,6,7,2,2,1,1,6,6,6
180,no,Female,44,Republican,Judgments the purpose of this study.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,5,7,6,5,5,6,6,5,4,6
181,Most of the politicians I know,Male,46,Democrat,To see how people a lying affects people's judgement of a candidate.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,7,6,5,7,3,4,3,5,4,4,5
182,"Yes, all of them.  They all lie. Some more than others.",Female,65,Democrat,To see if anybody is surprised if a politician is caught lying.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,7,6,7,7,3,3,3,4,5,6,5
183,no,Female,47,Republican,To study people's views on honesty in politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,2,6,6,6,2,2,2,2,4,4,6
184,"Yes, it brought President-elect Joseph Biden to mind.",Male,52,Republican,The purpose of this study was to obtain participants' views on political candidates lying. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,4,3,5,4,4,4,4,3,3,4
185,No.,Female,34,Democrat,To see how people judge politicans.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,2,2,2,2,2,2,2,2,2,5,5,5
186,no,Male,38,Other,don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,1,6,7,7,1,1,1,1,6,3,4
187,No,Female,36,Democrat,Can politicians be honest about where there financing comes from if it hurts their donors?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,5,4,5,5,4,5,6,6,3,3,2
188,too many to list,Female,48,Democrat,"opinions on whether lying is sometimes in people's best interest, or okay for politicians",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,4,4,5,4,3,3,3,4,5,5
189,all of them. ,Male,36,Other,testing moral judgements ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,1,1,1,1,7,7,7
190,Joe Biden,Male,55,Republican,How much lying is there in politics?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,6,5,5,5,2,3,2,4,3,4,4
191,"none in particular, seems like typical behavior for a politician",Male,34,Democrat, I'm not sure.,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,1,2,1,2,5,6,5
192,Donald Trump,Male,34,Republican,What people think is moral about lying,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,6,5,7,2,2,1,2,4,4,7
193,No,Male,55,Democrat,To see people view politicians that lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,5,6,6,2,3,3,2,2,3,3,3
194,trump,Male,44,Democrat,unclear,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,5,6,6,6,2,2,2,2,6,6,6
195,"Kelly Loeffler, I think the tries to seem like she is a regular person but shes actually one of the richest people in the Senate",Male,30,Democrat,To see how people view political candidates.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,6,6,4,2,2,2,2,3,3,6
196,Made me think of the candidate that raised nearly one million and still lost the race. the name escapes me. Makes me think that despite how much money is collected if the candidate comes across as a liar chances of winning are slim.,Female,32,Republican,Finding a correlation between a candidate that presents one image of itself but data represent another side of the candidate. what are the sentiments created. ,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,5,6,6,2,2,1,2,5,4,5
197,"No one in particular, no",Male,29,Democrat,It seemed to be asking how much I valued honesty in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,4,7,7,7,2,2,2,3,6,6,7
198,No one in particular but I assume that most politicians lie at some point during their campaign.,Male,35,Republican,To see if honesty about lying and the nature of the lies affect our feelings towards politicians. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,6,5,4,5,2,4,3,2,3,2,4
199,Lindsay Graham immediately sprang to mind because he is the biggest hypocrite in congress.,Male,58,Democrat,To gauge how respondents would react when learning that an otherwise promising politician is a liar?,,"Yes, he did lie about his campaign contributions.",5,control,no,7,5,6,5,2,2,4,2,2,4,5,3
200,Donald Trump,Male,26,Democrat,To get my opinion on a political candidate.,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,2,2,2,2,6,6,5
201,no,Female,59,Democrat,social and moral perspectives,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,5,5,5,4,4,4,2,4,4,5
202,Many,Female,67,Republican,To assess how information is accepted and processed by those impacted.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,4,6,6,7,2,3,2,2,5,6,6
203,Joe Biden ,Male,40,Republican,No clue,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,6,2,1,1,1,1,6,6,7
204,Joe Biden,Female,54,Republican,I am not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,5,6,6,2,1,2,2,2,5,5,6
205,Most politicians today,Female,21,Democrat,To see how we would react to a made up scenario due to our own experiences,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,5,4,6,3,3,3,5,5,4,5
206,No.,Male,72,Other,My best guess is that this study was trying to understand how different types of people feel about dishonesty in the political process. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,4,7,7,6,1,2,1,1,4,5,7
207,"Trump would never admit he's lying, but it looks like they share the same ""values""..",Male,41,Other,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,4,6,6,4,2,2,2,2,4,5,5
208,The whole Republican party!,Female,54,Democrat,Opinion about someone whom we know is crooked.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,2,2,2,2,5,5,4,4,2,5,4,6
209,All of them. I believe that they all lie.,Female,47,Republican,Politic ethics or the media influence on people?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,7,7,6,3,4,3,3,5,6,2
210,"Every politician comes to mind, i have long since gave up on them and sticking to their word.",Male,27,Democrat,To observe responses towards the typical politician actions.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,6,6,5,6,1,2,2,4,6,5,6
211,None that I can think of,Female,43,Other,To determine how we view politicians who lie about things that are easy to check out,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,7,2,2,2,3,5,5,7
212,no,Female,29,Republican,I have no idea.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,5,6,3,2,2,1,1,4,4,6
213,None,Male,38,Democrat,"On the surface, it was about honesty in politics. I think it could have been deeper than that, as I was first told that Mr Johnson was someone I typically agreed with, so right away I am persuaded to support him. However later I learn that the candidate is less than honest, so I think the study could be to see how myself as the individual, views dishonesty not necessarily in politics, rather from my preferred candidate. ",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,2,3,3,2,5,5,5,5,4,3,6
214,no,Male,39,Democrat,I don't know.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,5,2,2,2,3,5,5,5
215,No,Male,24,Democrat,Evaluate perception of a politician and morality.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,3,3,3,3,4,3,4
216,does literally all of them count?,Male,38,Other,I dunno,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,4,4,5,4,4,4,2,4,4,4
217,All of them.,Male,29,Democrat,How people think of corruption in politics.,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,1,1,1,1,7,7,5
218,"No, it just kind of brought to mind the behavior of politicians in general",Female,35,Democrat,To see whether people are more likely to vote for a candidate for claims to be honest but isn't or for a candidate who lies but never claims to be honest.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,3,3,3,2,2,2,2,3,4,5,5
219,All of them.,Female,55,Republican,To evaluate a candidate.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,2,2,2,3,4,4,4,4,5,4,4,6
220,his blatant (ironically) honesty about lying was a new one for me so I don't think so.,Male,35,Democrat,How morally you judge someone based on how they feel about lying and a report about them,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,5,5,3,2,2,2,2,5,5,6
221,DONALD TRUMP,Female,33,Democrat,POLITICS,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,1,1,1,1,1,5,4,5,4,6,3,7
222,yes,Male,32,Democrat,about interviewing mr johnson,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,7,6,6,2,2,1,6,7,7,7
223,No,Female,35,Other,Judgement of people who lie or are hypocrites,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,6,5,5,5,3,2,2,3,4,5,5
224,"All of them, lol ",Female,33,Democrat,To see if *what* he lied about affects people differently,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,5,5,4,5,3,3,4,3,5,4,4
225,no,Female,27,Democrat,politics and deception,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,1,1,1,3,1,7,7,7,7,1,1,6
226,Too many to list.,Female,58,Republican,To see how people view someone as moral and ethical.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,5,6,3,3,3,3,6,5,7
227,"I hear similar stories in the news quite frequently, but I can't think of a specific example at the moment.",Male,35,Republican,"I believe the purpose of this study was to provide my opinions about a politician's moral character, and whether he is someone I would likely trust.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,4,4,5,4,3,3,3,4,4,7
228,no,Female,43,Democrat,How do I feel about politicians?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,5,5,6,2,3,4,3,4,4,5
229,"Just the biggest blatant liar of them all, Donald Trump",Female,41,Republican,Is it acceptable for politicians to lie when it is fairly common?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,6,7,4,2,2,2,2,5,5,4
230,Elizabeth Warren,Female,59,Democrat,I'm really unsure!,,"Yes, he did lie about his campaign contributions.",5,control,no,4,5,4,4,6,3,4,4,3,3,3,3
231,none specifically,Female,35,Democrat,not really sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,2,7,7,7,1,1,1,1,7,7,7
232,No at all at least none that I can think of. ,Male,30,Democrat,The purpose of this study is to see how I feel about a politician and his political stance. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,1,1,1,1,7,7,7,7,4,7,4
233,pretty much all of them,Male,41,Other,no idea,,"Yes, he did lie about his campaign contributions.",5,control,no,5,4,5,4,4,3,3,3,4,4,5,4
234,No it did not,Male,31,Other,To see what we thought about Politicians that were honest about them lying publicly. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,2,7,7,1,1,1,1,1,7,7,7
235,Thom Tillis and Cal Cunningham,Female,21,Democrat,To understand perceptions of politicians ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,1,1,1,2,6,6,7
236,No,Male,42,Republican,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,3,6,6,2,2,3,2,3,5,6,4
237,none,Prefer not to answer,47,Other,People's perception of a politician.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,2,2,2,2,4,4,6
238,not aware of it,Male,33,Democrat,politics and daily life,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,3,6,4,6,6,7,6,6,6,5,5
239,I think Matthew Johnson is just a typical politician.,Male,25,Other,To see how I would respond about how a political candidate acted.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,7,5,7,1,2,2,2,5,4,5
240,Trump!,Female,55,Other,to see how information changes our perception of politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,6,7,7,7,1,1,1,1,6,7,6
241,All of them,Male,31,Democrat,Determining what level of bullshit we'll support from the people who lead our political interests.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,5,4,4,5,3,3,4,3,5,4,4
242,No,Prefer not to answer,35,Democrat,To determine how people feel about candidates honesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,4,5,6,4,1,1,1,1,6,7,4
243,"I wasn't thinking of one politician in particular, but I do think they all lie to some extent.",Female,54,Republican,To test how much trust voters have in politicians. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,2,6,6,3,2,3,4,3,4,5,5
244,"It brought Donald Trump to mind specifically, as it seems Trump lies in almost every tweet he puts out.  All politicians lie to some extent though.",Male,39,Democrat,I think the study wanted to see how much a politician lying affected my overall perception of him.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,7,7,6,7,2,2,2,2,5,4,6
245,None specifically but his behavior seems typical of our current politicians.,Female,34,Other,Evaluating opinions of a politician after they demonstrate dishonesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,4,6,6,5,2,2,2,1,5,3,6
246,No,Male,47,Democrat,To understand how subjective morality is within politics. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,2,2,5,5,1,2,2,2,3,5,2,6
247,Ted Cruz,Male,37,Democrat,political bias,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,5,5,5,4,4,4,4,3,3,2
248,"Governor Gavin Newsom, CA",Female,50,Republican,"Only Superman and Wonder Woman have the power of NOT lying.  ""Normal"" humans would be murdered for telling the truth.  We need super powers to protect us from the truth!",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,4,6,5,4,3,5,4,5,6,5,2
249,Joe Biden,Male,25,Other,Investigating the impact of politicians actions and statements  on voters viewpoints ,,"Yes, he did lie about his campaign contributions.",5,control,no,4,4,5,5,4,4,4,2,3,4,4,4
250,"No, the description didn't bring up any specific politician to mind really, though it is common for politicians or candidates to say their campaign is grass roots, or a certain percentage of donors only donated a small amount. ",Female,36,Democrat,To see how politicians' lies affect people's perceptions of them. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,7,2,2,2,2,4,4,6
251,No,Male,27,Democrat,Behavioral perception,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,5,7,6,4,1,1,1,2,7,7,7
252,The current ones we are dealing with,Female,32,Democrat,jjudgement,,"Yes, he did lie about his campaign contributions.",5,control,no,4,4,4,3,5,3,4,4,5,6,5,4
253,No,Male,25,Democrat,See how you view a candidate you are for when they are hypocrites to a candidate you are against. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,4,4,5,6,4,3,3,4,3,2,3
254,No one specific,Female,31,Other,See how seriously people judged lying from politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,2,2,2,2,4,5,7
255,"Not any particular one, no.",Male,25,Democrat,To see how we feel about our politicians lying?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,5,5,5,7,2,2,2,2,5,5,6
256,the president,Female,36,Democrat,How often do politicians lie,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,3,5,7,6,2,2,2,1,6,6,5
257,Almost all of them,Male,27,Democrat,How one lie would interpret into how you feel about a candidate ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,6,6,6,4,3,1,2,6,7,7
258,no,Female,56,Republican,to see if people think lying politicians are immoral,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,7,5,5,7,2,3,2,3,4,3,6
259,mind is dstrction,Male,42,Democrat,good,,"Yes, he did lie about his campaign contributions.",5,control,no,2,4,4,3,2,2,3,2,2,2,1,4
260,nope,Female,18,Democrat,I am unsure what the purpose of this survey was.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,1,1,1,1,7,7,7
